sample_name,fastq_path,library
EwS_T48,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222596.fastq.gz,CALCULATE
EwS_T49,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222597.fastq.gz,CALCULATE
EwS_T50,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222598.fastq.gz,CALCULATE
EwS_T51,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222599.fastq.gz,CALCULATE
EwS_T52,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222600.fastq.gz,CALCULATE
EwS_T53,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222601.fastq.gz,CALCULATE
EwS_T54,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222602.fastq.gz,CALCULATE
EwS_T55,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222603.fastq.gz,CALCULATE
EwS_T56,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222604.fastq.gz,CALCULATE
EwS_T57,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222605.fastq.gz,CALCULATE
EwS_T58,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222606.fastq.gz,CALCULATE
EwS_T59,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222607.fastq.gz,CALCULATE
EwS_T60,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222608.fastq.gz,CALCULATE
EwS_T61,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222609.fastq.gz,CALCULATE
EwS_T62,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222610.fastq.gz,CALCULATE
EwS_T63,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222611.fastq.gz,CALCULATE
EwS_T64,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222612.fastq.gz,CALCULATE
EwS_T65,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222613.fastq.gz,CALCULATE
EwS_T66,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222614.fastq.gz,CALCULATE
